Symbol,Name,IPO date,Market cap,Merger pending?,Leverage factor,Momentum factor 10,Momentum factor 200,Last Close Price,Shares outstanding,Average trading volume,% traded,Action,DB Ptnr?
AEHA,Aesther Healthcare Acquisition Corp Class A,11/5/2021,$0 ,N,0,0.94,0.97,9.96,0,"1,290,718",0.00%,Analyze,
CETU,Cetus Capital Acquisition Corp. Class A,3/23/2023,$0 ,N,0,0,0,0,0,0,0.00%,Analyze,
CETUR,Cetus Capital Acquisition Corp. Right to receive 1/6 of one share of Class A,3/23/2023,$0 ,N,0,0,0,0,0,0,0.00%,Analyze,
EFHT,EF Hutton Acquisition Corporation I,12/7/2022,$0 ,N,0,1.17,1.17,10.26,0,"11,403",0.00%,Analyze,
EFHTR,EF Hutton Acquisition Corporation I Rights,12/7/2022,$0 ,N,0,1.12,1.12,0.13,0,"495,000",0.00%,Analyze,
TENK,TenX Keane Acquisition,12/8/2022,$0 ,N,0,1.01,1.01,10.38,0,"19,709",0.00%,Analyze,
ARCK,Arbor Rapha Capital Bioholdings Corp. I Class A,1/28/2011,$0 ,N,0,1.04,1.17,12.05,"61,332","24,465",39.89%,Analyze,
FOXW,FoxWayne Enterprises Acquisition Corp. - Class A,2/25/2021,$0 ,N,0,1.01,1.01,10.26,"1,393,678",331,0.02%,Analyze,
KWAC,Kingswood Acquisition Corp. Class A,2/17/2021,$0 ,N,0,1.01,1.02,10.6,"1,463,256",100,0.01%,Analyze,
IGAC,IG Acquisition Corp. - Class A,11/23/2020,$0 ,N,0,1,1.01,10.12,"2,535,838","5,100",0.20%,Analyze,
DTRT,DTRT Health Acquisition Corp. Class A,10/25/2021,$0 ,N,0,1,1.02,10.34,"3,220,773","1,860",0.06%,Analyze,
PMVC,PMV Consumer Acquisition Corp. Class A,11/12/2020,$0 ,N,0,1.02,1.01,10.04,"5,046,609",720,0.01%,Analyze,
DILA,DILA Capital Acquisition Corp. Class A,8/4/2021,$0 ,N,0,1,1.01,10.04,"6,121,980","3,068",0.05%,Analyze,
THCA,Tuscan Holdings Corp. II,7/30/2019,$0 ,N,0,1,1.01,10.47,"7,355,601",310,0.00%,Analyze,
PAFO,Pacifico Acquisition Corp.,9/27/2021,$0 ,N,0,1.06,0.81,7.5,"7,495,000","112,395",1.50%,Analyze,
FVAM,5:01 Acquisition Corp. - Class A,10/14/2020,$0 ,N,0,1,1.01,10.01,"8,621,399","519,323",6.02%,Analyze,
PCX,Parsec Capital Acquisitions Corp Class A,12/28/2007,$0 ,N,0,1,1.01,10.19,"8,625,000","53,305",0.62%,Analyze,
GWII,Good Works II Acquisition Corp.,8/23/2021,$0 ,N,0,1.01,1.01,10.11,"8,874,470","2,492",0.03%,Analyze,
CPAQ,Counter Press Acquisition Corporation - Class A,4/1/2022,$0 ,N,0,1.01,1.02,10.33,"9,135,625","64,002",0.70%,Analyze,
MSAC,Medicus Sciences Acquisition Corp. Class A Ordinary Share,4/5/2021,$0 ,N,0,1.01,1.03,10.17,"9,292,000","1,522",0.02%,Analyze,
TMPM,Turmeric Acquisition Corp. - Class A,12/16/2020,$0 ,N,0,1,1.01,10.03,"9,775,000","15,659",0.16%,Analyze,
JYAC,Jiya Acquisition Corp. - Class A,11/19/2020,$0 ,N,0,1,1.01,10.04,"10,859,081","1,461",0.01%,Analyze,
GGGV,G3 VRM Acquisition Corp. Class A,8/16/2021,$0 ,N,0,1,1,10.13,"11,301,670","2,547",0.02%,Analyze,
